GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gym,com.app.gym.infrastructure,ControladorUsuariosAdmin.FormularioNovoUsuario,24,0,0,0,10,0,7,0,7,0
gym,com.app.gym.infrastructure,ControladorAutenticacao,20,63,5,5,4,15,7,4,3,3
gym,com.app.gym.infrastructure,ControladorAutenticacao.FormularioCadastro,9,24,0,0,4,11,1,7,1,7
gym,com.app.gym.infrastructure,ControladorPerfil.FormularioEditarPerfil,0,17,0,0,0,7,0,5,0,5
gym,com.app.gym.infrastructure,ConfiguracaoSeguranca,0,201,0,4,0,31,0,18,0,16
gym,com.app.gym.infrastructure,ControladorPerfil,6,130,1,5,1,29,2,6,1,4
gym,com.app.gym.infrastructure,ControladorAutenticacaoApi,0,54,0,4,0,11,0,4,0,2
gym,com.app.gym.infrastructure,FiltroAutenticacaoJwt,0,73,0,8,0,19,0,6,0,2
gym,com.app.gym.infrastructure,ControladorAutenticacaoApi.CredenciaisLogin,0,9,0,0,0,1,0,1,0,1
gym,com.app.gym.infrastructure,ControladorUsuariosAdmin,11,110,1,9,3,25,2,8,1,4
gym,com.app.gym.domain,ContaUsuario,0,27,0,0,0,11,0,6,0,6
gym,com.app.gym.application,ServicoJwt,0,76,0,0,0,27,0,5,0,5
gym,com.app.gym.application,ServiçoAutenticacao,11,58,0,10,2,12,2,7,2,2
gym,com.app.gym.application,ServiçoSementeAdministrador,0,34,0,2,0,8,0,3,0,2
gym,com.app.gym.application,ServicoListarUsuarios,0,10,0,0,0,4,0,2,0,2
gym,com.app.gym.application,UsuarioJaExistenteException,0,4,0,0,0,2,0,1,0,1
gym,com.app.gym.application,ServicoCriptografiaSenha,0,17,0,0,0,5,0,3,0,3
gym,com.app.gym,GymApplication,5,3,0,0,2,1,1,1,1,1
